year	averageRating	totalCount
1894	5.616666666666666	6
1892	6.266666666666667	3
1893	6.2	1
1895	5.436842105263157	19
1896	4.982692307692308	104
1898	5.087096774193548	31
1897	4.889189189189189	37
1900	5.2	1
1899	5.552631578947368	19
